Queue Group/Line of Business,Month,Year,Calls Handled,Average Wait Time (minutes),,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2019,206,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2019,247,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2019,293,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2019,257,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2019,266,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2019,217,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2019,200,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Aug,2019,206,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Sep,2019,192,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Oct,2019,269,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Nov,2019,260,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Dec,2019,154,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2020,206,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2020,216,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2020,120,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2020,83,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2020,98,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2020,162,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2020,149,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Aug,2020,119,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Sep,2020,140,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Oct,2020,139,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Nov,2020,123,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Dec,2020,160,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2021,154,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2021,185,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2021,184,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2021,148,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2021,157,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2021,193,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
